id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
259,Ⅱ优218,Ⅱ-32A×中恢218,籼型三系杂交稻,中国水稻研究所,浙审稻2005002,,,,,,,,,,,,,,,,,,,,,,,,
260,D优202,D62A×蜀恢202,籼型三系杂交稻,四川农业大学水稻研究所等,浙审稻2005001,,,,,,,,,,,,,,,,,,,,,,,,
261,温220,温95繁3/嘉育948×中丝2号,籼型常规稻,温州市农业科学研究院,浙审稻2004025,,,,,,,,,,,,,,,,,,,,,,,,
262,浙106,Z9512×浙733,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004024,,,,,,,,,,,,,,,,,,,,,,,,
263,浙103,Z9512×南95-331,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004023,,,,,,,,,,,,,,,,,,,,,,,,
264,浙鉴21,浙9248×舟903,籼型常规稻,浙江省农科院作物与核技术利用研究所,浙审稻2004022,,,,,,,,,,,,,,,,,,,,,,,,
265,嘉早324,嘉早935/Z9538//Z9610×Z9610/Z9510,籼型常规稻,浙江省嘉兴市农业科学院,浙审稻2004021,,,,,,,,,,,,,,,,,,,,,,,,
266,浙糯5号,R9682×丙9302,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004020,,,,,,,,,,,,,,,,,,,,,,,,
267,嘉禾212,JS2×C211,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2004019,,,,,,,,,,,,,,,,,,,,,,,,
268,嘉花1号,秀水11×秀水344,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2004018,,,,,,,,,,,,,,,,,,,,,,,,
269,浙粳27,ZH9318×绍糯928/越光,粳型常规稻,浙江省农科院作核所等,浙审稻2004017,,,,,,,,,,,,,,,,,,,,,,,,
270,原粳41,R915×R9471,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004016,,,,,,,,,,,,,,,,,,,,,,,,
271,特优航1号,龙特甫A×航1号,籼型三系杂交稻,福建省农业科学院水稻研究所,浙审稻2004015,,,,,,,,,,,,,,,,,,,,,,,,
272,中优205,中9A×浙恢205,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004014,,,,,,,,,,,,,,,,,,,,,,,,
273,协优205,协青早A×浙恢205,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2004013,,,,,,,,,,,,,,,,,,,,,,,,
274,全优36,全龙A×SF36,籼型三系杂交稻,浙江大学农业与生物技术学院,浙审稻2004012,,,,,,,,,,,,,,,,,,,,,,,,
275,国稻3号,中8A×中恢8006,籼型三系杂交稻,中国水稻研究所,浙审稻2004011,,,,,,,,,,,,,,,,,,,,,,,,
276,菲优600,菲改A×R600,籼型三系杂交稻,中国水稻研究所,浙审稻2004010,,,,,,,,,,,,,,,,,,,,,,,,
277,中浙优1号,中浙A×航恢570,籼型三系杂交稻,中国水稻研究所等,浙审稻2004009,,,,,,,,,,,,,,,,,,,,,,,,
278,越糯6号,越糯96-10×Z95-05,籼型常规稻,绍兴市农业科学研究院,浙审稻2004008,,,,,,,,,,,,,,,,,,,,,,,,
279,绍嘉1号,鉴41×嘉兴98-12,籼型常规稻,绍兴市农业科学研究所等,浙审稻2004007,,,,,,,,,,,,,,,,,,,,,,,,
280,甬籼57,嘉育143×G95-40-3,籼型常规稻,宁波市农业科学研究院作物研究所,浙审稻2004006,,,,,,,,,,,,,,,,,,,,,,,,
281,天禾1号,金恢88×浙3,籼型常规稻,浙江省金华市天禾生物技术研究所等,浙审稻2004005,,,,,,,,,,,,,,,,,,,,,,,,
282,杭982,浙辐37×浙852,籼型常规稻,浙江省杭州市农业科学研究所,浙审稻2004004,,,,,,,,,,,,,,,,,,,,,,,,
283,中早22,嘉早935×中选11,籼型常规稻,中国水稻研究所,浙审稻2004003,,,,,,,,,,,,,,,,,,,,,,,,
284,浙农7号,中丝3号×浙农947,籼型常规稻,浙江大学农业与生物技术学院,浙审稻2004002,,,,,,,,,,,,,,,,,,,,,,,,
285,嘉育46,嘉育293/Z94-207×G96-28-1,籼型常规稻,嘉兴市农业科学研究院,浙审稻2004001,,,,,,,,,,,,,,,,,,,,,,,,
